id	loan_count	household_income	most_popular
80306	1	#N/A	Human Resources Consulting Services 
80307	1	#N/A	Custom Computer Programming Services 
80437	1	#N/A	Child Day Care Services 
80527	1	#N/A	Promoters of Performing Arts, Sports, and Similar Events without Facilities 
80533	1	#N/A	All Other Business Support Services 
80541	1	#N/A	Poured Concrete Foundation and Structure Contractors 
80614	1	#N/A	Electrical Contractors and Other Wiring Installation Contractors
80901	1	#N/A	Museums 
80934	1	#N/A	Plumbing, Heating, and Air-Conditioning Contractors 
80936	1	#N/A	All Other Specialty Trade Contractors
81215	1	#N/A	Amusement and Theme Parks 
81626	1	#N/A	Crushed and Broken Limestone Mining and Quarrying 
